"Prefecture","Visited"
"Hokkaido",TRUE
"Aomori",FALSE
"Iwate",FALSE
"Miyagi",TRUE
"Akita",FALSE
"Yamagata",FALSE
"Fukushima",FALSE
"Ibaraki",TRUE
"Tochigi",TRUE
"Gunma",TRUE
"Saitama",TRUE
"Chiba",TRUE
"Tokyo",TRUE
"Kanagawa",TRUE
"Niigata",TRUE
"Toyama",FALSE
"Ishikawa",FALSE
"Fukui",FALSE
"Yamanashi",FALSE
"Nagano",FALSE
"Gifu",FALSE
"Shizuoka",TRUE
"Aichi",TRUE
"Mie",FALSE
"Shiga",TRUE
"Kyoto",TRUE
"Osaka",TRUE
"Hyogo",TRUE
"Nara",FALSE
"Wakayama",FALSE
"Tottori",FALSE
"Shimane",FALSE
"Okayama",FALSE
"Hiroshima",TRUE
"Yamaguchi",TRUE
"Tokushima",FALSE
"Kagawa",FALSE
"Ehime",FALSE
"Kochi",FALSE
"Fukuoka",TRUE
"Saga",FALSE
"Nagasaki",FALSE
"Kumamoto",FALSE
"Oita",FALSE
"Miyazaki",FALSE
"Kagoshima",FALSE
"Okinawa",TRUE
